DateTime;Temperatura
2026-03-01 00:00:00;15,277
2026-03-01 00:30:00;14,679
2026-03-01 01:00:00;15,263
2026-03-01 01:30:00;15,372
2026-03-01 02:00:00;14,488
2026-03-01 02:30:00;14,925
2026-03-01 03:00:00;15,715
2026-03-01 03:30:00;15,923
2026-03-01 04:00:00;16,459
2026-03-01 04:30:00;16,658
2026-03-01 05:00:00;17,808
2026-03-01 05:30:00;18,359
2026-03-01 06:00:00;18,729
2026-03-01 06:30:00;19,742
2026-03-01 07:00:00;20,164
2026-03-01 07:30:00;20,352
2026-03-01 08:00:00;21,423
2026-03-01 08:30:00;21,578
2026-03-01 09:00:00;22,807
2026-03-01 09:30:00;23,026
2026-03-01 10:00:00;23,471
2026-03-01 10:30:00;23,728
2026-03-01 11:00:00;24,758
2026-03-01 11:30:00;24,565
2026-03-01 12:00:00;24,680
2026-03-01 12:30:00;24,834
2026-03-01 13:00:00;25,186
2026-03-01 13:30:00;25,085
2026-03-01 14:00:00;24,974
2026-03-01 14:30:00;24,770
2026-03-01 15:00:00;25,080
2026-03-01 15:30:00;23,825
2026-03-01 16:00:00;23,356
2026-03-01 16:30:00;22,759
2026-03-01 17:00:00;22,716
2026-03-01 17:30:00;22,309
2026-03-01 18:00:00;21,254
2026-03-01 18:30:00;20,359
2026-03-01 19:00:00;19,711
2026-03-01 19:30:00;19,575
2026-03-01 20:00:00;18,966
2026-03-01 20:30:00;18,277
2026-03-01 21:00:00;17,267
2026-03-01 21:30:00;17,037
2026-03-01 22:00:00;16,505
2026-03-01 22:30:00;16,110
2026-03-01 23:00:00;15,975
2026-03-01 23:30:00;15,459
2026-03-02 00:00:00;15,408
2026-03-02 00:30:00;15,066
2026-03-02 01:00:00;15,101
2026-03-02 01:30:00;15,264
2026-03-02 02:00:00;14,660
2026-03-02 02:30:00;15,269
2026-03-02 03:00:00;15,505
2026-03-02 03:30:00;15,810
2026-03-02 04:00:00;16,368
2026-03-02 04:30:00;17,479
2026-03-02 05:00:00;17,197
2026-03-02 05:30:00;18,425
2026-03-02 06:00:00;18,117
2026-03-02 06:30:00;19,230
2026-03-02 07:00:00;20,057
2026-03-02 07:30:00;20,858
2026-03-02 08:00:00;21,543
2026-03-02 08:30:00;22,191
2026-03-02 09:00:00;22,378
2026-03-02 09:30:00;22,882
2026-03-02 10:00:00;23,836
2026-03-02 10:30:00;23,900
2026-03-02 11:00:00;23,884
2026-03-02 11:30:00;24,223
2026-03-02 12:00:00;24,508
2026-03-02 12:30:00;25,131
2026-03-02 13:00:00;25,050
2026-03-02 13:30:00;25,199
2026-03-02 14:00:00;24,680
2026-03-02 14:30:00;24,675
2026-03-02 15:00:00;24,549
2026-03-02 15:30:00;23,858
2026-03-02 16:00:00;23,695
2026-03-02 16:30:00;22,812
2026-03-02 17:00:00;22,373
2026-03-02 17:30:00;21,780
2026-03-02 18:00:00;20,876
2026-03-02 18:30:00;20,823
2026-03-02 19:00:00;19,836
2026-03-02 19:30:00;19,352
2026-03-02 20:00:00;18,874
2026-03-02 20:30:00;18,243
2026-03-02 21:00:00;17,733
2026-03-02 21:30:00;16,922
2026-03-02 22:00:00;16,316
2026-03-02 22:30:00;16,005
2026-03-02 23:00:00;15,079
2026-03-02 23:30:00;14,874
2026-03-03 00:00:00;14,707
2026-03-03 00:30:00;14,694
2026-03-03 01:00:00;15,140
2026-03-03 01:30:00;14,726
2026-03-03 02:00:00;15,038
2026-03-03 02:30:00;15,835
2026-03-03 03:00:00;15,545
2026-03-03 03:30:00;16,291
2026-03-03 04:00:00;16,138
2026-03-03 04:30:00;16,884
2026-03-03 05:00:00;17,167
2026-03-03 05:30:00;17,968
2026-03-03 06:00:00;19,000
2026-03-03 06:30:00;18,743
2026-03-03 07:00:00;20,152
2026-03-03 07:30:00;20,736
2026-03-03 08:00:00;21,086
2026-03-03 08:30:00;21,407
2026-03-03 09:00:00;22,525
2026-03-03 09:30:00;22,858
2026-03-03 10:00:00;23,617
2026-03-03 10:30:00;23,974
2026-03-03 11:00:00;24,891
2026-03-03 11:30:00;24,536
2026-03-03 12:00:00;24,471
2026-03-03 12:30:00;25,020
2026-03-03 13:00:00;25,077
2026-03-03 13:30:00;25,433
2026-03-03 14:00:00;25,122
2026-03-03 14:30:00;24,744
2026-03-03 15:00:00;24,842
2026-03-03 15:30:00;23,551
2026-03-03 16:00:00;23,312
2026-03-03 16:30:00;22,720
2026-03-03 17:00:00;22,364
2026-03-03 17:30:00;21,432
2026-03-03 18:00:00;21,516
2026-03-03 18:30:00;20,575
2026-03-03 19:00:00;19,485
2026-03-03 19:30:00;18,992
2026-03-03 20:00:00;18,816
2026-03-03 20:30:00;18,380
2026-03-03 21:00:00;18,199
2026-03-03 21:30:00;17,976
2026-03-03 22:00:00;16,610
2026-03-03 22:30:00;15,687
2026-03-03 23:00:00;14,924
2026-03-03 23:30:00;15,474
2026-03-04 00:00:00;14,886
2026-03-04 00:30:00;14,897
2026-03-04 01:00:00;14,786
2026-03-04 01:30:00;14,993
2026-03-04 02:00:00;15,543
2026-03-04 02:30:00;15,436
2026-03-04 03:00:00;15,614
2026-03-04 03:30:00;15,671
2026-03-04 04:00:00;15,878
2026-03-04 04:30:00;16,786
2026-03-04 05:00:00;17,481
2026-03-04 05:30:00;18,705
2026-03-04 06:00:00;18,752
2026-03-04 06:30:00;19,691
2026-03-04 07:00:00;19,825
2026-03-04 07:30:00;20,238
2026-03-04 08:00:00;20,956
2026-03-04 08:30:00;21,660
2026-03-04 09:00:00;23,245
2026-03-04 09:30:00;22,756
2026-03-04 10:00:00;23,829
2026-03-04 10:30:00;23,651
2026-03-04 11:00:00;24,656
2026-03-04 11:30:00;24,754
2026-03-04 12:00:00;24,775
2026-03-04 12:30:00;24,943
2026-03-04 13:00:00;24,771
2026-03-04 13:30:00;25,113
2026-03-04 14:00:00;24,670
2026-03-04 14:30:00;24,190
2026-03-04 15:00:00;23,883
2026-03-04 15:30:00;24,027
2026-03-04 16:00:00;24,088
2026-03-04 16:30:00;23,100
2026-03-04 17:00:00;22,458
2026-03-04 17:30:00;22,013
2026-03-04 18:00:00;21,751
2026-03-04 18:30:00;20,729
2026-03-04 19:00:00;19,856
2026-03-04 19:30:00;19,735
2026-03-04 20:00:00;18,856
2026-03-04 20:30:00;18,624
2026-03-04 21:00:00;17,564
2026-03-04 21:30:00;16,528
2026-03-04 22:00:00;15,986
2026-03-04 22:30:00;16,611
2026-03-04 23:00:00;16,273
2026-03-04 23:30:00;15,318
2026-03-05 00:00:00;15,036
2026-03-05 00:30:00;15,554
2026-03-05 01:00:00;14,613
2026-03-05 01:30:00;14,730
2026-03-05 02:00:00;15,396
2026-03-05 02:30:00;15,242
2026-03-05 03:00:00;15,668
2026-03-05 03:30:00;15,976
2026-03-05 04:00:00;16,583
2026-03-05 04:30:00;17,449
2026-03-05 05:00:00;17,532
2026-03-05 05:30:00;18,312
2026-03-05 06:00:00;17,988
2026-03-05 06:30:00;19,330
2026-03-05 07:00:00;19,705
2026-03-05 07:30:00;20,226
2026-03-05 08:00:00;20,987
2026-03-05 08:30:00;21,796
2026-03-05 09:00:00;22,821
2026-03-05 09:30:00;22,580
2026-03-05 10:00:00;23,546
2026-03-05 10:30:00;23,797
2026-03-05 11:00:00;24,215
2026-03-05 11:30:00;24,970
2026-03-05 12:00:00;25,018
2026-03-05 12:30:00;25,425
2026-03-05 13:00:00;24,946
2026-03-05 13:30:00;24,714
2026-03-05 14:00:00;24,751
2026-03-05 14:30:00;24,704
2026-03-05 15:00:00;24,392
2026-03-05 15:30:00;23,587
2026-03-05 16:00:00;23,567
2026-03-05 16:30:00;23,124
2026-03-05 17:00:00;23,381
2026-03-05 17:30:00;22,570
2026-03-05 18:00:00;20,995
2026-03-05 18:30:00;20,552
2026-03-05 19:00:00;19,488
2026-03-05 19:30:00;19,141
2026-03-05 20:00:00;18,816
2026-03-05 20:30:00;18,509
2026-03-05 21:00:00;17,245
2026-03-05 21:30:00;16,727
2026-03-05 22:00:00;15,713
2026-03-05 22:30:00;15,976
2026-03-05 23:00:00;15,298
2026-03-05 23:30:00;15,195
2026-03-06 00:00:00;14,863
2026-03-06 00:30:00;15,010
2026-03-06 01:00:00;14,385
2026-03-06 01:30:00;14,529
2026-03-06 02:00:00;15,916
2026-03-06 02:30:00;14,930
2026-03-06 03:00:00;15,286
2026-03-06 03:30:00;16,676
2026-03-06 04:00:00;17,481
2026-03-06 04:30:00;16,546
2026-03-06 05:00:00;17,371
2026-03-06 05:30:00;18,206
2026-03-06 06:00:00;19,311
2026-03-06 06:30:00;19,002
2026-03-06 07:00:00;19,914
2026-03-06 07:30:00;20,925
2026-03-06 08:00:00;21,446
2026-03-06 08:30:00;21,782
2026-03-06 09:00:00;22,453
2026-03-06 09:30:00;22,563
2026-03-06 10:00:00;23,452
2026-03-06 10:30:00;23,874
2026-03-06 11:00:00;24,411
2026-03-06 11:30:00;24,425
2026-03-06 12:00:00;24,995
2026-03-06 12:30:00;25,312
2026-03-06 13:00:00;25,054
2026-03-06 13:30:00;25,080
2026-03-06 14:00:00;24,848
2026-03-06 14:30:00;24,619
2026-03-06 15:00:00;24,078
2026-03-06 15:30:00;24,078
2026-03-06 16:00:00;23,501
2026-03-06 16:30:00;23,776
2026-03-06 17:00:00;23,051
2026-03-06 17:30:00;22,048
2026-03-06 18:00:00;21,027
2026-03-06 18:30:00;20,263
2026-03-06 19:00:00;20,417
2026-03-06 19:30:00;19,439
2026-03-06 20:00:00;18,874
2026-03-06 20:30:00;17,476
2026-03-06 21:00:00;17,825
2026-03-06 21:30:00;17,115
2026-03-06 22:00:00;16,076
2026-03-06 22:30:00;15,868
2026-03-06 23:00:00;15,762
2026-03-06 23:30:00;15,399
2026-03-07 00:00:00;15,068
2026-03-07 00:30:00;15,007
2026-03-07 01:00:00;14,912
2026-03-07 01:30:00;15,096
2026-03-07 02:00:00;15,685
2026-03-07 02:30:00;14,482
2026-03-07 03:00:00;15,587
2026-03-07 03:30:00;16,095
2026-03-07 04:00:00;16,568
2026-03-07 04:30:00;16,826
2026-03-07 05:00:00;16,885
2026-03-07 05:30:00;18,201
2026-03-07 06:00:00;19,310
2026-03-07 06:30:00;18,811
2026-03-07 07:00:00;20,302
2026-03-07 07:30:00;20,538
2026-03-07 08:00:00;21,273
2026-03-07 08:30:00;21,545
2026-03-07 09:00:00;22,383
2026-03-07 09:30:00;23,499
2026-03-07 10:00:00;23,739
2026-03-07 10:30:00;24,573
2026-03-07 11:00:00;24,742
2026-03-07 11:30:00;24,773
2026-03-07 12:00:00;25,440
2026-03-07 12:30:00;25,111
2026-03-07 13:00:00;25,290
2026-03-07 13:30:00;24,853
2026-03-07 14:00:00;24,853
2026-03-07 14:30:00;24,375
2026-03-07 15:00:00;24,676
2026-03-07 15:30:00;23,554
2026-03-07 16:00:00;23,809
2026-03-07 16:30:00;22,977
2026-03-07 17:00:00;22,910
2026-03-07 17:30:00;22,176
2026-03-07 18:00:00;21,931
2026-03-07 18:30:00;20,908
2026-03-07 19:00:00;19,450
2026-03-07 19:30:00;19,324
2026-03-07 20:00:00;18,296
2026-03-07 20:30:00;17,905
2026-03-07 21:00:00;18,029
2026-03-07 21:30:00;17,179
2026-03-07 22:00:00;16,220
2026-03-07 22:30:00;15,678
2026-03-07 23:00:00;15,681
2026-03-07 23:30:00;14,955
2026-03-08 00:00:00;14,935
2026-03-08 00:30:00;15,152
2026-03-08 01:00:00;15,404
2026-03-08 01:30:00;15,256
2026-03-08 02:00:00;14,368
2026-03-08 02:30:00;15,487
2026-03-08 03:00:00;15,695
2026-03-08 03:30:00;16,178
2026-03-08 04:00:00;17,030
2026-03-08 04:30:00;16,234
2026-03-08 05:00:00;17,293
2026-03-08 05:30:00;18,293
2026-03-08 06:00:00;18,152
2026-03-08 06:30:00;19,864
2026-03-08 07:00:00;20,129
2026-03-08 07:30:00;20,949
2026-03-08 08:00:00;21,094
2026-03-08 08:30:00;22,198
2026-03-08 09:00:00;22,874
2026-03-08 09:30:00;23,125
2026-03-08 10:00:00;23,618
2026-03-08 10:30:00;24,061
2026-03-08 11:00:00;24,028
2026-03-08 11:30:00;24,568
2026-03-08 12:00:00;24,776
2026-03-08 12:30:00;25,091
2026-03-08 13:00:00;25,350
2026-03-08 13:30:00;24,587
2026-03-08 14:00:00;24,786
2026-03-08 14:30:00;25,138
2026-03-08 15:00:00;24,070
2026-03-08 15:30:00;23,679
2026-03-08 16:00:00;23,606
2026-03-08 16:30:00;23,339
2026-03-08 17:00:00;22,504
2026-03-08 17:30:00;22,379
2026-03-08 18:00:00;21,594
2026-03-08 18:30:00;20,947
2026-03-08 19:00:00;20,194
2026-03-08 19:30:00;20,162
2026-03-08 20:00:00;18,634
2026-03-08 20:30:00;17,385
2026-03-08 21:00:00;18,061
2026-03-08 21:30:00;16,796
2026-03-08 22:00:00;16,502
2026-03-08 22:30:00;16,492
2026-03-08 23:00:00;15,109
2026-03-08 23:30:00;14,943
2026-03-09 00:00:00;14,610
2026-03-09 00:30:00;14,765
2026-03-09 01:00:00;15,154
2026-03-09 01:30:00;15,226
2026-03-09 02:00:00;15,267
2026-03-09 02:30:00;14,886
2026-03-09 03:00:00;14,861
2026-03-09 03:30:00;16,052
2026-03-09 04:00:00;16,299
2026-03-09 04:30:00;17,117
2026-03-09 05:00:00;17,746
2026-03-09 05:30:00;18,135
2026-03-09 06:00:00;18,972
2026-03-09 06:30:00;19,428
2026-03-09 07:00:00;20,186
2026-03-09 07:30:00;20,406
2026-03-09 08:00:00;21,231
2026-03-09 08:30:00;21,982
2026-03-09 09:00:00;22,787
2026-03-09 09:30:00;22,906
2026-03-09 10:00:00;23,718
2026-03-09 10:30:00;23,874
2026-03-09 11:00:00;24,289
2026-03-09 11:30:00;24,910
2026-03-09 12:00:00;24,132
2026-03-09 12:30:00;24,503
2026-03-09 13:00:00;24,481
2026-03-09 13:30:00;24,140
2026-03-09 14:00:00;24,592
2026-03-09 14:30:00;24,882
2026-03-09 15:00:00;24,230
2026-03-09 15:30:00;24,036
2026-03-09 16:00:00;23,917
2026-03-09 16:30:00;23,508
2026-03-09 17:00:00;22,476
2026-03-09 17:30:00;22,387
2026-03-09 18:00:00;21,326
2026-03-09 18:30:00;20,360
2026-03-09 19:00:00;19,792
2026-03-09 19:30:00;18,829
2026-03-09 20:00:00;18,395
2026-03-09 20:30:00;17,961
2026-03-09 21:00:00;17,781
2026-03-09 21:30:00;17,558
2026-03-09 22:00:00;15,981
2026-03-09 22:30:00;16,171
2026-03-09 23:00:00;15,306
2026-03-09 23:30:00;15,547
2026-03-10 00:00:00;15,124
2026-03-10 00:30:00;14,402
2026-03-10 01:00:00;15,325
2026-03-10 01:30:00;14,831
2026-03-10 02:00:00;14,984
2026-03-10 02:30:00;15,006
2026-03-10 03:00:00;15,441
2026-03-10 03:30:00;16,183
2026-03-10 04:00:00;16,398
2026-03-10 04:30:00;17,071
2026-03-10 05:00:00;17,627
2026-03-10 05:30:00;18,549
2026-03-10 06:00:00;18,586
2026-03-10 06:30:00;18,830
2026-03-10 07:00:00;20,374
2026-03-10 07:30:00;20,537
2026-03-10 08:00:00;21,684
2026-03-10 08:30:00;22,048
2026-03-10 09:00:00;22,454
2026-03-10 09:30:00;23,166
2026-03-10 10:00:00;24,218
2026-03-10 10:30:00;24,694
2026-03-10 11:00:00;24,354
2026-03-10 11:30:00;24,675
2026-03-10 12:00:00;25,206
2026-03-10 12:30:00;24,661
2026-03-10 13:00:00;25,117
2026-03-10 13:30:00;24,948
2026-03-10 14:00:00;24,939
2026-03-10 14:30:00;24,328
2026-03-10 15:00:00;23,774
2026-03-10 15:30:00;23,241
2026-03-10 16:00:00;23,144
2026-03-10 16:30:00;22,883
2026-03-10 17:00:00;22,397
2026-03-10 17:30:00;22,591
2026-03-10 18:00:00;21,681
2026-03-10 18:30:00;20,316
2026-03-10 19:00:00;20,122
2026-03-10 19:30:00;19,205
2026-03-10 20:00:00;18,606
2026-03-10 20:30:00;18,151
2026-03-10 21:00:00;17,717
2026-03-10 21:30:00;16,837
2026-03-10 22:00:00;16,837
2026-03-10 22:30:00;15,634
2026-03-10 23:00:00;15,672
2026-03-10 23:30:00;16,290
2026-03-11 00:00:00;15,248
2026-03-11 00:30:00;15,544
2026-03-11 01:00:00;15,032
2026-03-11 01:30:00;15,246
2026-03-11 02:00:00;15,150
2026-03-11 02:30:00;15,321
2026-03-11 03:00:00;15,397
2026-03-11 03:30:00;16,184
2026-03-11 04:00:00;16,166
2026-03-11 04:30:00;17,189
2026-03-11 05:00:00;17,880
2026-03-11 05:30:00;18,215
2026-03-11 06:00:00;18,606
2026-03-11 06:30:00;19,506
2026-03-11 07:00:00;19,892
2026-03-11 07:30:00;20,980
2026-03-11 08:00:00;20,653
2026-03-11 08:30:00;21,796
2026-03-11 09:00:00;21,803
2026-03-11 09:30:00;22,521
2026-03-11 10:00:00;24,013
2026-03-11 10:30:00;24,280
2026-03-11 11:00:00;24,078
2026-03-11 11:30:00;24,094
2026-03-11 12:00:00;23,792
2026-03-11 12:30:00;24,767
2026-03-11 13:00:00;25,847
2026-03-11 13:30:00;25,109
2026-03-11 14:00:00;24,634
2026-03-11 14:30:00;24,782
2026-03-11 15:00:00;23,784
2026-03-11 15:30:00;23,863
2026-03-11 16:00:00;23,570
2026-03-11 16:30:00;23,014
2026-03-11 17:00:00;22,777
2026-03-11 17:30:00;22,034
2026-03-11 18:00:00;21,528
2026-03-11 18:30:00;20,412
2026-03-11 19:00:00;20,314
2026-03-11 19:30:00;19,917
2026-03-11 20:00:00;18,366
2026-03-11 20:30:00;17,776
2026-03-11 21:00:00;17,968
2026-03-11 21:30:00;16,889
2026-03-11 22:00:00;16,956
2026-03-11 22:30:00;15,878
2026-03-11 23:00:00;16,179
2026-03-11 23:30:00;15,427
2026-03-12 00:00:00;15,261
2026-03-12 00:30:00;15,590
